2022-05-18 10:05:369 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 10:05:597 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:926 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:146 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:634 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:349 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:448 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:749 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:669 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:945 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:953 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:98 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:728 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:749 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:797 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:140 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:351 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //select[@id='models']]
2022-05-19 20:05:487 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:599 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:501 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:573 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (56820cac555983f8e50465f51b81e2eb)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:629 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:908 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (13339c8409c1ef566a4a105eb5bf8825)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:237 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:140 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:285 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (52d53c19be1eb255894e899730fdbfe5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:430 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:673 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:345 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:465 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:864 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:992 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //select[@id='models']]
2022-05-19 20:05:152 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:264 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:865 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:933 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (5fbf2af0eb44f6ab76d3a3af85f9e10e)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:964 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:820 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:434 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:554 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:850 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:185 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //select[@id='models']]
2022-05-19 20:05:361 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:481 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:282 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:362 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (16cc224f2ba6d851802366f412a2f0db)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:873 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:23 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:762 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:818 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:234 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:434 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //select[@id='models']]
2022-05-19 20:05:546 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:658 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:851 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:891 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (f9de36fe332a6259a21f246631cdd72c)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:114 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:46 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:185 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:883 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:762 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:173 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:417 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:418 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (e3c15c339b378c26f891e718fcd24d41)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:159 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (e3c15c339b378c26f891e718fcd24d41)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:282 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (e3c15c339b378c26f891e718fcd24d41)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:714 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:953 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:218 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:474 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:846 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:982 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //select[@id='models']]
2022-05-19 20:05:110 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:238 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:55 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:111 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (5f73717f5c1e6bffbf1c5c9437b75e12)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:39 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:683 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:588 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:910 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:135 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:183 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:487 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:642 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //select[@id='models']]
2022-05-19 20:05:770 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //select[@id='locations']]
